"Group","Process","HasWindow","DLP模組數","模組清單"
"瀏覽器","chrome","True","20","BrowerInject64.dll BrowserGuardx64.dll com_antivirus.dll DynamicDll64.dll EstBrowserUrl64.dll ghhlp64.dll Hook64.dll HookDataInteractionx64.dll LdBrowserDataFlow64.dll LdBrowserMonitor64.dll LdHook64.dll LdPrintMonitor64.dll LdSendFileLimit64.dll LdSmartEnc64.dll LdUserInjectDll64.dll LdWaterMarkHook64.dll MonFileOp64.dll msghijt64.dll product_info.dll SQLiteDB64.dll"
"瀏覽器","msedge","False","19","BrowerInject64.dll BrowserGuardx64.dll DynamicDll64.dll EstBrowserUrl64.dll FileLock64.dll ghhlp64.dll Hook64.dll HookDataInteractionx64.dll LdBrowserDataFlow64.dll LdBrowserMonitor64.dll LdHook64.dll LdPrintMonitor64.dll LdSendFileLimit64.dll LdSmartEnc64.dll LdUserInjectDLL64.dll LdWaterMarkHook64.dll MonFileOp64.dll msghijt64.dll SQLiteDB64.dll"
