"Group","Total","Have","Missing"
"01_env",5,5,""
"02_wrangle",7,7,""
"03_bigdata",6,6,""
"04_database",7,7,""
"05_timeser",9,9,""
"06_model",9,9,""
"07_explain",5,5,""
"08_report",7,7,""
"09_viz",6,6,""
"10_perf",7,7,""
"11_shiny",6,6,""
"12_pipeline",5,5,""
