"Name","Id","WS_MB"
"CDGRegedit","14072","77"
"CdgTwin32","4988","24"
"CdgTwin32","3096","14"
"CdgTwin64","14876","30"
"CdgTwin64","8228","14"
"CdgUpGrade","16292","13"
"klnagent","18496","35"
"MsMpEng","3692","655"
