"Env","Group","Total","Have","Missing"
"C:\work\envs\ds\Scripts\python.exe","01_env","2","2",""
"C:\work\envs\ds\Scripts\python.exe","02_wrangle","5","5",""
"C:\work\envs\ds\Scripts\python.exe","03_database","5","5",""
"C:\work\envs\ds\Scripts\python.exe","04_model","5","5",""
"C:\work\envs\ds\Scripts\python.exe","05_explain","2","2",""
"C:\work\envs\ds\Scripts\python.exe","06_survival","4","3","scikit-survival"
"C:\work\envs\ds\Scripts\python.exe","07_viz","4","4",""
"C:\work\envs\ds\Scripts\python.exe","08_notebook","4","4",""
