"Package","Version","LibPath"
"xtable","1.8-8","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"xts","0.14.3","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"yaml","2.3.12","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"yardstick","1.4.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"zip","3.0.2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"zoo","1.9-0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"base","4.6.1","C:/Program Files/R/R-4.6.1/library"
"boot","1.3-32","C:/Program Files/R/R-4.6.1/library"
"class","7.3-23","C:/Program Files/R/R-4.6.1/library"
"cluster","2.1.8.2","C:/Program Files/R/R-4.6.1/library"
"codetools","0.2-20","C:/Program Files/R/R-4.6.1/library"
"compiler","4.6.1","C:/Program Files/R/R-4.6.1/library"
"datasets","4.6.1","C:/Program Files/R/R-4.6.1/library"
"foreign","0.8-91","C:/Program Files/R/R-4.6.1/library"
"graphics","4.6.1","C:/Program Files/R/R-4.6.1/library"
"grDevices","4.6.1","C:/Program Files/R/R-4.6.1/library"
"grid","4.6.1","C:/Program Files/R/R-4.6.1/library"
"KernSmooth","2.23-26","C:/Program Files/R/R-4.6.1/library"
"lattice","0.22-9","C:/Program Files/R/R-4.6.1/library"
"MASS","7.3-65","C:/Program Files/R/R-4.6.1/library"
"Matrix","1.7-5","C:/Program Files/R/R-4.6.1/library"
"methods","4.6.1","C:/Program Files/R/R-4.6.1/library"
"mgcv","1.9-4","C:/Program Files/R/R-4.6.1/library"
"nlme","3.1-169","C:/Program Files/R/R-4.6.1/library"
"nnet","7.3-20","C:/Program Files/R/R-4.6.1/library"
"parallel","4.6.1","C:/Program Files/R/R-4.6.1/library"
"rpart","4.1.27","C:/Program Files/R/R-4.6.1/library"
"spatial","7.3-18","C:/Program Files/R/R-4.6.1/library"
"splines","4.6.1","C:/Program Files/R/R-4.6.1/library"
"stats","4.6.1","C:/Program Files/R/R-4.6.1/library"
"stats4","4.6.1","C:/Program Files/R/R-4.6.1/library"
"survival","3.8-6","C:/Program Files/R/R-4.6.1/library"
"tcltk","4.6.1","C:/Program Files/R/R-4.6.1/library"
"tools","4.6.1","C:/Program Files/R/R-4.6.1/library"
"translations","4.6.1","C:/Program Files/R/R-4.6.1/library"
"utils","4.6.1","C:/Program Files/R/R-4.6.1/library"
