"Package","Version","LibPath"
"dbplyr","2.6.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"depmixS4","1.5-4","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"Deriv","4.3.5","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"desc","1.4.3","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"diagram","1.6.5","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"dials","1.4.4","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"DiceDesign","1.10","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"DiceKriging","1.6.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"diffobj","0.3.9","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"digest","0.6.39","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"distributional","0.9.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"DistributionUtils","0.6-2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"doBy","4.7.2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"doFuture","1.3.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"dplyr","1.2.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"DT","0.34.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"dtplyr","1.3.3","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"duckdb","1.5.5","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"evaluate","1.0.5","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"exactRankTests","0.8-37","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"fable","0.5.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"fabletools","0.8.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"farver","2.1.2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"fastmap","1.2.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"flextable","0.10.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"FNN","1.1.4.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"fontawesome","0.5.3","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"fontBitstreamVera","0.1.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"fontLiberation","0.1.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"fontquiver","0.2.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"forcats","1.0.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"foreach","1.5.2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"forecast","9.0.2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"Formula","1.2-6","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"fracdiff","1.5-4","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"fs","2.1.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"fst","0.9.8","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"fstcore","0.10.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"furrr","0.4.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"future","1.75.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"future.apply","1.20.2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"gargle","1.6.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"GauPro","0.2.17","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"gdtools","0.5.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"GeneralizedHyperbolic","0.8-7","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"generics","0.1.4","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"ggdist","3.3.3","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"ggfittext","0.10.4","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"gggenes","0.7.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"ggiraph","0.9.6","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"ggplot2","4.0.3","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"ggpubr","1.0.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"ggrepel","0.9.8","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"ggsci","5.2.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"ggsignif","0.6.4","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"ggtext","0.2.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"glmnet","5.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"globals","0.19.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"glue","1.8.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"googledrive","2.1.2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"googlesheets4","1.1.2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"gower","1.0.2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"grf","2.6.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"gridExtra","2.3.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"gridtext","0.1.6","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"gt","1.3.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"gtable","0.3.6","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"gtsummary","2.6.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"hardhat","1.4.3","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"haven","2.5.5","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"here","1.0.2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"highr","0.12","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"hms","1.1.4","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"htmltools","0.5.9","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"htmlwidgets","1.6.4","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"httpuv","1.6.17","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"httr","1.4.9","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"httr2","1.3.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"iBreakDown","2.1.2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"ids","1.0.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"igraph","2.3.3","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"iml","0.11.4","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"infer","1.1.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"ingredients","2.3.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
