"Name","Id","WS_MB"
"CDGRegedit","14196","83"
"CdgTwin32","30608","17"
"CdgTwin32","29480","29"
"CdgTwin64","36048","18"
"CdgTwin64","29924","39"
"CdgUpGrade","28572","15"
"klnagent","21740","39"
"LdApproval","12268","29"
"LdTerm","10856","31"
"LdTermDaemon","4156","10"
"LdTermDaemon","4148","90"
"LdTermPlug","9604","57"
"LdTermPlug64","9904","10"
"MsMpEng","4164","552"
