"Group","Total","Have","Missing"
"01_env","2","0","ruff pytest"
"02_wrangle","5","0","pandas polars numpy pyarrow duckdb"
"03_database","5","0","sqlalchemy psycopg pymysql clickhouse-connect pyodbc"
"04_model","5","0","scikit-learn xgboost lightgbm statsmodels scipy"
"05_explain","2","0","shap lime"
"06_survival","4","0","lifelines scikit-survival econml dowhy"
"07_viz","4","0","matplotlib plotly seaborn great-tables"
"08_notebook","4","0","jupyterlab ipykernel nbclient papermill"
