"Type","Path"
"Git repo","C:\Users\PPCCpcpc\OneDrive\文档\GitHub\basic-data-analytical-lab"
"Git repo","C:\Users\PPCCpcpc\OneDrive\文档\GitHub\qianghua_xianyou_ziyuan_shichuang_dishiban"
